node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_7        102400    43552          23788     19764          1326      814       63        371       1000      1000      45        
node_0         topic_8        102400    43565          28060     15505          1265      480       133       324       998       1000      45        
node_1         topic_7        102400    43539          21422     22117          1338      853       59        515       1000      1000      45        
node_1         topic_8        102400    43542          27315     16227          1288      605       121       402       997       1000      45        
node_2         topic_7        102400    43524          17496     26028          1354      886       57        539       1000      1000      45        
node_2         topic_8        102400    43531          26536     16995          1299      662       116       430       1000      1000      45        
node_3         topic_7        102400    43535          10283     33252          1342      919       52        600       1000      1000      45        
node_3         topic_8        102400    43511          26091     17420          1314      605       131       345       999       1000      45        
node_4         topic_7        102400    43554          10976     32578          1324      882       87        351       1000      1000      45        
node_4         topic_8        102400    43524          25531     17993          1306      665       115       370       1000      1000      45        
node_5         topic_7        102400    43559          1754      41805          1318      951       51        655       1000      1000      45        
node_5         topic_8        102400    43557          24648     18909          1273      765       85        470       999       1000      45        
node_6         topic_7        102400    43489          3921      39568          1388      878       68        417       1000      1000      45        
node_6         topic_8        102400    43514          24173     19341          1316      777       97        406       1000      1000      45        
