node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    4501           0         0              0         624       73        459       1372      100       45        
node_0         topic_9        102400    4501           0         0              0         575       65        435       1140      100       45        
node_1         topic_10       102400    4501           0         0              0         748       81        566       1428      100       45        
node_1         topic_9        102400    4501           0         0              0         713       86        533       1525      100       45        
node_2         topic_10       102400    4501           1         0              0         697       75        518       2181      100       45        
node_2         topic_9        102400    4501           0         0              0         659       63        510       1309      100       45        
node_3         topic_10       102400    4501           0         0              0         802       75        616       1716      100       45        
node_3         topic_9        102400    4501           0         0              0         754       81        582       1618      100       45        
node_4         topic_10       102400    4501           0         0              0         831       75        629       1741      100       45        
node_4         topic_9        102400    4501           0         0              0         779       82        604       1643      100       45        
node_5         topic_10       102400    4501           0         0              0         859       75        653       1764      100       45        
node_5         topic_9        102400    4501           0         0              0         806       81        627       1668      100       45        
node_6         topic_10       102400    4501           0         0              0         730       83        552       1573      100       45        
node_6         topic_9        102400    4501           0         0              0         708       71        539       1359      100       45        
node_7         topic_10       102400    4501           0         0              0         785       81        577       1624      100       45        
node_7         topic_9        102400    4501           0         0              0         762       75        569       1719      100       45        
node_8         topic_10       102400    4501           1         0              0         900       69        727       2261      100       45        
node_8         topic_9        102400    4501           0         0              0         831       68        648       1772      100       45        
